quiz_id,question,answer,score,category_id
1,"""리신""의 궁 이름은?",용의 분노,1,7
2,"""아리""의 궁 이름은?",혼령 질주,1,7
3,"""말파이트""의 궁 이름은?",멈출 수 없는 힘,1,7
4,"""룰루""의 궁 이름은?",급성장,1,7
5,"""야스오""의 궁 이름은?",최후의 숨결,1,7
6,"""아지르""의 궁 이름은?",황제의 진영,1,7
7,"""크산테""의 궁 이름은?",총공세,1,7
8,"""아트록스""의 궁 이름은?",세계의 종결자,2,7
9,"""아칼리""의 궁 이른은?",무결처형,2,7
10,"""아크샨""의 궁 이름은?",인과응보,2,7
11,"""알리스타""의 궁 이름은?",꺾을 수 없는 의지,1,7
12,"""아무무""의 궁 이름은?",슬픈 미라의 저주,1,7
13,"""애니비아""의 궁 이름은?",얼음 폭풍,1,7
14,"""아펠리오스""의 궁 이름은?",월광포화,1,7
15,"""애쉬""의 궁 이름은?",마법의 수정화살,1,7
16,"""오로라""의 궁 이름은?",세계의 경계,2,7
17,"""바드""의 궁 이름은?",운명의 소용돌이,2,7
18,"""벨베스""의 궁 이름은?",끝없는 연회,2,7
19,"""블리츠크랭크""의 궁 이름은?",정전기장,1,7
20,"""브랜드""의 궁 이름은?",파멸의 불덩이,1,7
21,"""브라움""의 궁 이름은?",빙하 균열,1,7
22,"""브라이어""의 궁 이름은?",불가항력적 죽음,2,7
23,"""케이틀린""의 궁 이름은?",비장의 한 발,1,7
24,"""카밀""의 궁 이름은?",마법공학 최후통첩,2,7
25,"""카시오페아""의 궁 이름은?",석화의 응시,1,7
26,"""초가스""의 궁 이름은?",포식,1,7
27,"""코르키""의 궁 이름은?",미사일 폭격,1,7
28,"""다리우스""의 궁 이름은?",녹서스의 단두대,1,7
29,"""다이애나""의 궁 이름은?",달빛 낙하,1,7
30,"""문도 박사""의 궁 이름은?",최대 투여량,1,7
31,"""드레이븐""의 궁 이름은?",죽음의 소용돌이,2,7
32,"""에코""의 궁 이름은?",시공간 붕괴,1,7
33,"""이블린""의 궁 이름은?",최후의 포옹,2,7
34,"""이즈리얼""의 궁 이름은?",정조준 일격,1,7
35,"""피들스틱""의 궁 이름은?",까마귀 폭풍,1,7
36,"""피오라""의 궁 이름은?",대결투,1,7
37,"""피즈""의 궁 이름은?",미끼 뿌리기,1,7
38,"""갈리오""의 궁 이름은?",영웅출현,2,7
39,"""갱플랭크""의 궁 이름은?",포탄 세례,1,7
40,"""가렌""의 궁 이름은?",데마시아의 정의,1,7
41,"""나르""의 궁 이름은?",나르,1,7
42,"""그라가스""의 궁 이름은?",술통 폭발,1,7
43,"""그레이브즈""의 궁 이름은?",무고한 희생자,2,7
44,"""그웬""의 궁 이름은?",바느질,1,7
45,"""헤카림""의 궁 이름은?",그림자의 맹습,2,7
46,"""하이머딩거""의 궁 이름은?",업그레이드,1,7
47,"""일라오이""의 궁 이름은?",믿음의 도약,2,7
48,"""이렐리아""의 궁 이름은?",선봉진격검,2,7
49,"""아이번""의 궁 이름은?",데이지,1,7
50,"""잔나""의 궁 이름은?",계절풍,2,7
51,"""자르반 4세""의 궁 이름은?",대격변,1,7
52,"""잭스""의 궁 이름은?",무기의 달인,2,7
53,"""진""의 궁 이름은?",커튼 콜,1,7
54,"""징크스""의 궁 이름은?",초강력 초토화 로켓,1,7
55,"""카이사""의 궁 이름은?",사냥본능,2,7
56,"""칼리스타""의 궁 이름은?",운명의 부름,2,7
57,"""카르마""의 궁 이름은?",만트라,1,7
58,"""케일""의 궁 이름은?",신성한 심판,1,7
59,"""카사딘""의 궁 이름은?",균열 이동,1,7
60,"""카타리나""의 궁 이름은?",죽음의 연꽃,1,7
61,"""케인""의 궁 이름은?",그림자의 지배,1,7
62,"""케넨""의 궁 이름은?",날카로운 소용돌이,2,7
63,"""카직스""의 궁 이름은?",공허의 습격,2,7
64,"""킨드레드""의 궁 이름은?",양의 안식처,1,7
65,"""클레드""의 궁 이름은?",돌겨어어억,1,7
66,"""코그모""의 궁 이름은?",살아있는 곡사포,2,7
67,"""르블랑""의 궁 이름은?",모방,1,7
68,"""레오나""의 궁 이름은?",흑점 폭발,1,7
69,"""릴리야""의 궁 이름은?",감미로운 자장가,1,7
70,"""리산드라""의 궁 이름은?",얼음 무덤,1,7
71,"""루시안""의 궁 이름은?",빛의 심판,2,7
72,"""럭스""의 궁 이름은?",최후의 섬광,1,7
73,"""말자하""의 궁 이름은?",황천의 손아귀,2,7
74,"""마오카이""의 궁 이름은?",대자연의 마수,2,7
75,"""마스터 이""의 궁 이름은?",최후의 전사,2,7
76,"""밀리오""의 궁 이름은?",생명의 온기,2,7
77,"""미스포츈""의 궁 이름은?",쌍권총 난사,1,7
78,"""모데카이저""의 궁 이름은?",죽음의 세계,2,7
79,"""모르가나""의 궁 이름은?",영혼의 족쇄,2,7
80,"""나피리""의 궁 이름은?",사냥개의 추적,1,7
81,"""나미""의 궁 이름은?",해일,1,7
82,"""나서스""의 궁 이름은?",사막의 분노,1,7
83,"""노틸러스""의 궁 이름은?",폭뢰,1,7
84,"""니코""의 궁 이름은?",만개,2,7
85,"""니달리""의 궁 이름은?",쿠거의 상,1,7
86,"""닐라""의 궁 이름은?",환희,2,7
87,"""녹턴""의 궁 이름은?",피해망상,2,7
88,"""누누와 윌럼프""의 궁 이름은?",절대 영도,1,7
89,"""올라프""의 궁 이름은?",라그나로크,2,7
90,"""오리아나""의 궁 이름은?",충격파,2,7
91,"""오른""의 궁 이름은?",대장장이 신의 부름,1,7
92,"""판테온""의 궁 이름은?",거대 유성,2,7
93,"""뽀삐""의 궁 이름은?",수호자의 심판,2,7
94,"""파이크""의 궁 이름은?",깊은 바다의 처형,1,7
95,"""키아나""의 궁 이름은?",여왕의 진가,2,7
96,"""퀸""의 궁 이름은?",후방 지원,2,7
97,"""라칸""의 궁 이름은?",매혹의 질주,2,7
98,"""람머스""의 궁 이름은?",지진 폭격,2,7
99,"""렉사이""의 궁 이름은?",공허의 돌진,2,7
100,"""렐""의 궁 이름은?",자기 폭풍,2,7
101,"""레나타 글라스크""의 궁 이름은?",적대적 인수,2,7
102,"""레넥톤""의 궁 이름은?",강신,2,7
103,"""렝가""의 궁 이름은?",사냥의 전율,1,7
104,"""리븐""의 궁 이름은?",추방자의 검,2,7
105,"""럼블""의 궁 이름은?",이퀄라이저 미사일,1,7
106,"""라이즈""의 궁 이름은?",공간왜곡,1,7
107,"""사미라""의 궁 이름은?",지옥불 난사,1,7
108,"""세주아니""의 궁 이름은?",빙하 감옥,1,7
109,"""세나""의 궁 이름은?",여명의 그림자,2,7
110,"""세라핀""의 궁 이름은?",앙코르,1,7
111,"""세트""의 궁 이름은?",대미 장식,2,7
112,"""샤코""의 궁 이름은?",환각,1,7
113,"""쉔""의 궁 이름은?",단결된 의지,2,7
114,"""쉬바나""의 궁 이름은?",용의 강림,1,7
115,"""신지드""의 궁 이름은?",광기의 물약,2,7
116,"""사이온""의 궁 이름은?",멈출 수 없는 맹공,2,7
117,"""시비르""의 궁 이름은?",사냥 개시,2,7
